category,concept_id,score,fi
Cancer,441225,1,vafi
Cancer,198695,1,vafi
Cancer,194589,1,vafi
Cancer,440649,1,vafi
Cancer,434293,1,vafi
Cancer,432843,1,vafi
Cancer,433423,1,vafi
Cancer,25486,1,vafi
Cancer,199754,1,vafi
Cancer,192261,1,vafi
Cancer,195482,1,vafi
Cancer,193418,1,vafi
Cancer,4179720,1,vafi
Cancer,435485,1,vafi
Cancer,438367,1,vafi
Cancer,4247336,1,vafi
Cancer,137800,1,vafi
Cancer,140046,1,vafi
Cancer,132258,1,vafi
Cancer,136639,1,vafi
Cancer,259748,1,vafi
Cancer,253977,1,vafi
Cancer,4054513,1,vafi
Cancer,260336,1,vafi
Cancer,261514,1,vafi
Cancer,259755,1,vafi
Cancer,436352,1,vafi
Cancer,22839,1,vafi
Cancer,26052,1,vafi
Cancer,432262,1,vafi
Cancer,256646,1,vafi
Cancer,438368,1,vafi
Cancer,316644,1,vafi
Cancer,432844,1,vafi
Cancer,435487,1,vafi
Cancer,438693,1,vafi
Cancer,78093,1,vafi
Cancer,321234,1,vafi
Cancer,252840,1,vafi
Cancer,4334322,1,vafi
Cancer,4246802,1,vafi
Cancer,379756,1,vafi
Cancer,75488,1,vafi
Cancer,438977,1,vafi
Cancer,4246141,1,vafi
Cancer,76914,1,vafi
Cancer,4089860,1,vafi
Cancer,136915,1,vafi
Cancer,4095592,1,vafi
Cancer,4157456,1,vafi
Cancer,133419,1,vafi
Cancer,139750,1,vafi
Cancer,141232,1,vafi
Cancer,4111917,1,vafi
Cancer,4001666,1,vafi
Cancer,4032870,1,vafi
Cancer,4033891,1,vafi
Cancer,258981,1,vafi
Cancer,375479,1,vafi
Cancer,140958,1,vafi
Cancer,312846,1,vafi
Cancer,434584,1,vafi
Cancer,4095892,1,vafi
Cancer,4094262,1,vafi
Cancer,4091621,1,vafi
Cancer,4097284,1,vafi
Cancer,4003179,1,vafi
Cancer,4002343,1,vafi
Cancer,4094260,1,vafi
Cancer,198091,1,vafi
Cancer,197799,1,vafi
Cancer,198092,1,vafi
Cancer,4114222,1,vafi
Cancer,439392,1,vafi
Cancer,4312698,1,vafi
Cancer,4092358,1,vafi
Cancer,4095018,1,vafi
Cancer,201231,1,vafi
Cancer,376647,1,vafi
Cancer,378081,1,vafi
Cancer,437501,1,vafi
Cancer,441802,1,vafi
Cancer,197225,1,vafi
Cancer,4003029,1,vafi
Cancer,195197,1,vafi
Cancer,196048,1,vafi
Cancer,441805,1,vafi
Cancer,436358,1,vafi
Cancer,4092515,1,vafi
Cancer,196359,1,vafi
Cancer,192847,1,vafi
Cancer,4247238,1,vafi
Cancer,4247842,1,vafi
Cancer,4095748,1,vafi
Cancer,198082,1,vafi
Cancer,4162860,1,vafi
Cancer,45770892,1,vafi
Cancer,196047,1,vafi
Cancer,200052,1,vafi
Cancer,201238,1,vafi
Cancer,196051,1,vafi
Cancer,4131761,1,vafi
Cancer,440339,1,vafi
Cancer,438370,1,vafi
Cancer,79749,1,vafi
Cancer,4003027,1,vafi
Cancer,195483,1,vafi
Cancer,200962,1,vafi
Cancer,79758,1,vafi
Cancer,197507,1,vafi
Cancer,196645,1,vafi
Cancer,435484,1,vafi
Cancer,42709931,1,vafi
Cancer,73153,1,vafi
Cancer,196360,1,vafi
Cancer,77812,1,vafi
Cancer,40650479,1,vafi
Cancer,436923,1,vafi
Cancer,76924,1,vafi
Cancer,201517,1,vafi
Cancer,4095168,1,vafi
Cancer,196049,1,vafi
Cancer,200963,1,vafi
Cancer,4091486,1,vafi
Cancer,76349,1,vafi
Cancer,436926,1,vafi
Cancer,134295,1,vafi
Cancer,4002340,1,vafi
Cancer,4091490,1,vafi
Cancer,441233,1,vafi
Cancer,433976,1,vafi
Cancer,438086,1,vafi
Cancer,432559,1,vafi
Cancer,432848,1,vafi
Cancer,433149,1,vafi
Cancer,441806,1,vafi
Cancer,4003693,1,vafi
Cancer,380055,1,vafi
Cancer,135491,1,vafi
Cancer,4246029,1,vafi
Cancer,4247822,1,vafi
Cancer,133424,1,vafi
Cancer,139753,1,vafi
Cancer,24296,1,vafi
Cancer,442134,1,vafi
Cancer,26361,1,vafi
Cancer,27235,1,vafi
Cancer,442122,1,vafi
Cancer,4130672,1,vafi
Cancer,133420,1,vafi
Cancer,80665,1,vafi
Cancer,197506,1,vafi
Cancer,198988,1,vafi
Cancer,318096,1,vafi
Cancer,439751,1,vafi
Cancer,192568,1,vafi
Cancer,434298,1,vafi
Cancer,442182,1,vafi
Cancer,200959,1,vafi
Cancer,320342,1,vafi
Cancer,434875,1,vafi
Cancer,72266,1,vafi
Cancer,198371,1,vafi
Cancer,200348,1,vafi
Cancer,196925,1,vafi
Cancer,198700,1,vafi
